"CO_GRUPO","NT_GER","estado_civil","regiao","sexo","hestudos","cor_pele","renda_familiar","turno"
2001,46.2,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 3 a 4,5 SM","Vespertino"
2001,43.4,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Matutino"
2001,59.1,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Matutino"
2001,53.9,"Outro","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Vespertino"
2001,41.8,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 1,5 a 3 SM","Vespertino"
2001,61,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","Até 1,5 SM","Matutino"
2001,53.4,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","de 6 a 10 SM","Vespertino"
2001,NA,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","De 3 a 4,5 SM","Matutino"
2001,36.3,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Preta","Até 1,5 SM","Matutino"
2001,52.6,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 3 a 4,5 SM","Matutino"
2001,48.2,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Preta","De 1,5 a 3 SM","Matutino"
2001,42.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 3 a 4,5 SM","Vespertino"
6405,56.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 3 a 4,5 SM","Integral"
6405,52.8,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 3 a 4,5 SM","Integral"
6405,51.5,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Nao Declarado","De 1,5 a 3 SM","Integral"
6405,54.3,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 4,5 a 6 SM","Integral"
6405,44.1,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Preta","De 1,5 a 3 SM","Integral"
6405,43.5,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","De 1,5 a 3 SM","Integral"
6405,29.3,"Outro","Centro-Oeste","Feminino","De oito a doze","Branca","De 4,5 a 6 SM","Integral"
6405,44.2,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","Até 1,5 SM","Integral"
6405,64.2,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","Até 1,5 SM","Integral"
6405,75.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Nao Declarado","De 3 a 4,5 SM","Integral"
6405,65.6,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","de 6 a 10 SM","Integral"
6405,52.2,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Preta","De 1,5 a 3 SM","Integral"
6405,58.9,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","de 6 a 10 SM","Integral"
6405,45.5,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","Até 1,5 SM","Integral"
6405,NA,"Outro","Centro-Oeste","Masculino","Mais de doze","Preta","Até 1,5 SM","Integral"
6405,33.2,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Preta","de 6 a 10 SM","Integral"
6405,37.2,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 4,5 a 6 SM","Integral"
6405,45.8,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","de 6 a 10 SM","Integral"
6405,61.3,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 3 a 4,5 SM","Integral"
6405,48.2,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 1,5 a 3 SM","Integral"
6405,39.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Preta","De 4,5 a 6 SM","Integral"
6405,68.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 4,5 a 6 SM","Integral"
6405,51.6,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Preta","de 6 a 10 SM","Integral"
6405,67.5,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 1,5 a 3 SM","Integral"
6405,78.7,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 3 a 4,5 SM","Integral"
6405,61,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","De 3 a 4,5 SM","Integral"
6405,30,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 3 a 4,5 SM","Integral"
6405,61.7,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 3 a 4,5 SM","Integral"
6405,64.9,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Nao Declarado","de 10 a 30 SM","Integral"
6405,50.1,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 3 a 4,5 SM","Integral"
6405,42,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 3 a 4,5 SM","Integral"
6405,73.5,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","de 6 a 10 SM","Integral"
6405,50.1,"Outro","Centro-Oeste","Masculino","De quatro a sete","Branca","de 10 a 30 SM","Integral"
6405,NA,NA,"Centro-Oeste","Masculino",NA,NA,NA,"Integral"
6405,48.2,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","De 4,5 a 6 SM","Integral"
6405,47.1,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 1,5 a 3 SM","Integral"
6405,58.6,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","de 10 a 30 SM","Integral"
6405,55.5,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Amarela","de 6 a 10 SM","Integral"
6405,56.6,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 4,5 a 6 SM","Integral"
6405,53.8,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Preta","De 3 a 4,5 SM","Integral"
6405,71.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","de 6 a 10 SM","Integral"
6405,60.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 1,5 a 3 SM","Integral"
6405,46.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","Até 1,5 SM","Integral"
6405,70.8,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Nao Declarado","de 6 a 10 SM","Integral"
6405,62.3,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","De 3 a 4,5 SM","Integral"
5806,33.7,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 3 a 4,5 SM","Integral"
5806,27.6,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 1,5 a 3 SM","Integral"
5806,43.3,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Preta","de 6 a 10 SM","Integral"
5806,58.4,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","De 1,5 a 3 SM","Integral"
5806,55.7,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Nao Declarado","De 3 a 4,5 SM","Integral"
5806,15.8,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","de 6 a 10 SM","Integral"
5806,41.8,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","De 3 a 4,5 SM","Integral"
5806,47.2,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","de 6 a 10 SM","Integral"
5806,39.5,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","Até 1,5 SM","Integral"
5806,56.1,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","de 6 a 10 SM","Integral"
5806,38.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","de 6 a 10 SM","Integral"
5806,53.5,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","De 4,5 a 6 SM","Integral"
5806,52.2,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","De 3 a 4,5 SM","Integral"
5806,NA,NA,"Centro-Oeste","Masculino",NA,NA,NA,"Integral"
5806,16.3,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","Até 1,5 SM","Integral"
5806,41.2,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Preta","De 1,5 a 3 SM","Integral"
5806,53.3,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","Até 1,5 SM","Integral"
5806,48.3,"Solteiro(a)","Centro-Oeste","Feminino","De oito a doze","Parda","De 1,5 a 3 SM","Integral"
5806,29.9,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","de 6 a 10 SM","Integral"
5806,27.6,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Preta","Até 1,5 SM","Integral"
5806,33.2,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","de 6 a 10 SM","Integral"
5806,41.6,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","Acima de 30SM","Integral"
5806,44.4,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 3 a 4,5 SM","Integral"
5806,46.2,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","De 3 a 4,5 SM","Integral"
5806,34.5,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","De 4,5 a 6 SM","Integral"
5806,67.3,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","de 6 a 10 SM","Integral"
5806,39.3,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Preta","de 6 a 10 SM","Integral"
5806,41.1,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 1,5 a 3 SM","Integral"
5806,49.9,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","de 10 a 30 SM","Integral"
5806,41.2,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 1,5 a 3 SM","Integral"
5806,39.6,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","de 6 a 10 SM","Integral"
5806,52.3,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","De 4,5 a 6 SM","Integral"
5806,44.1,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 4,5 a 6 SM","Integral"
5806,41.8,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Parda","De 1,5 a 3 SM","Integral"
5806,55.6,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Amarela","de 6 a 10 SM","Integral"
5806,36.3,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","De 1,5 a 3 SM","Integral"
5806,49.1,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","de 6 a 10 SM","Integral"
5806,55,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 1,5 a 3 SM","Integral"
5806,41.8,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","Até 1,5 SM","Integral"
5806,56.1,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","de 6 a 10 SM","Integral"
5806,52.8,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","de 6 a 10 SM","Integral"
5806,55,"Solteiro(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","de 10 a 30 SM","Integral"
5806,43.3,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Amarela","De 1,5 a 3 SM","Integral"
5806,28.5,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","Até 1,5 SM","Integral"
5806,53.7,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","Até 1,5 SM","Integral"
5806,40.3,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","Até 1,5 SM","Integral"
5806,31,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Parda","Acima de 30SM","Integral"
5806,60.7,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","De 3 a 4,5 SM","Integral"
3502,57,"Solteiro(a)","Centro-Oeste","Feminino","Nenhuma, apenas assisto as aulas","Parda","De 1,5 a 3 SM","Matutino"
3502,49.9,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","De 4,5 a 6 SM","Matutino"
3502,52.6,"Casado(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","de 6 a 10 SM","Matutino"
3502,42.7,"Separado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","De 3 a 4,5 SM","Matutino"
3502,37.6,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Parda","de 10 a 30 SM","Matutino"
3502,46.1,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 1,5 a 3 SM","Matutino"
3502,58.8,"Casado(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 3 a 4,5 SM","Matutino"
3502,58.3,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Preta","De 4,5 a 6 SM","Matutino"
3502,70.3,"Solteiro(a)","Centro-Oeste","Masculino","De oito a doze","Branca","Até 1,5 SM","Matutino"
3502,39.8,"Separado(a)","Centro-Oeste","Masculino","De uma a três","Branca","de 6 a 10 SM","Matutino"
3502,58.5,"Outro","Centro-Oeste","Masculino","De uma a três","Parda","de 6 a 10 SM","Matutino"
3502,52.7,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Preta","Até 1,5 SM","Matutino"
3502,43.6,"Outro","Centro-Oeste","Masculino","De uma a três","Preta","De 3 a 4,5 SM","Matutino"
3502,53.7,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 3 a 4,5 SM","Matutino"
3502,46.6,"Casado(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 4,5 a 6 SM","Matutino"
3502,75.3,"Casado(a)","Centro-Oeste","Masculino","Mais de doze","Parda","de 6 a 10 SM","Matutino"
3502,46.4,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","de 10 a 30 SM","Matutino"
3502,48.3,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 1,5 a 3 SM","Matutino"
3502,68.4,"Solteiro(a)","Centro-Oeste","Masculino","De quatro a sete","Parda","De 4,5 a 6 SM","Matutino"
3502,58.9,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","de 6 a 10 SM","Matutino"
3502,39.1,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 1,5 a 3 SM","Matutino"
3502,55.6,"Casado(a)","Centro-Oeste","Feminino","Mais de doze","Parda","Até 1,5 SM","Matutino"
3502,48.3,"Solteiro(a)","Centro-Oeste","Masculino","Mais de doze","Branca","De 3 a 4,5 SM","Matutino"
3502,48.9,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Branca","de 10 a 30 SM","Matutino"
3502,49.2,"Casado(a)","Centro-Oeste","Masculino","De quatro a sete","Branca","Até 1,5 SM","Matutino"
3502,35.1,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","De 3 a 4,5 SM","Matutino"
3502,42.1,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Parda","De 3 a 4,5 SM","Matutino"
3502,76.8,"Solteiro(a)","Centro-Oeste","Masculino","De uma a três","Branca","de 6 a 10 SM","Matutino"
3502,55.8,"Solteiro(a)","Centro-Oeste","Feminino","Mais de doze","Branca","De 1,5 a 3 SM","Matutino"
2001,43.7,"Separado(a)","Centro-Oeste","Feminino","De oito a doze","Parda","Até 1,5 SM","Matutino"
2001,44.2,"Viúvo(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","Até 1,5 SM","Matutino"
2001,60.1,"Casado(a)","Centro-Oeste","Feminino","Mais de doze","Parda","De 1,5 a 3 SM","Matutino"
2001,37.2,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Matutino"
2001,34.2,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Preta","Até 1,5 SM","Matutino"
2001,35.5,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Parda","Até 1,5 SM","Matutino"
2001,30.8,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Matutino"
2001,60.7,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Matutino"
2001,28,"Solteiro(a)","Centro-Oeste","Feminino","De uma a três","Parda","Até 1,5 SM","Matutino"
2001,25.8,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Branca","De 1,5 a 3 SM","Matutino"
2001,54,"Casado(a)","Centro-Oeste","Feminino","De uma a três","Preta","De 1,5 a 3 SM","Matutino"
2001,44.8,"Casado(a)","Centro-Oeste","Feminino","De quatro a sete","Branca","De 1,5 a 3 SM","Matutino"
2001,56.9,"Outro","Centro-Oeste","Feminino","De uma a três","Nao Declarado","Até 1,5 SM","Matutino"
2001,47.6,"Solteiro(a)","Centro-Oeste","Feminino","Nenhuma, apenas assisto as aulas","Parda","Até 1,5 SM","Matutino"
